id,customer_message,support_reply,intent,should_escalate,difficulty,annotation_notes
415002,What does this mean? @AppleSupport https://t.co/oc74YNYX4c,@213961 Normally it means that something is going on with your Touch ID sensor. We'll be happy to assist. When did this start?,,,,
2261579,@AppleSupport It just keeps glitching and some apps take so long to load,@658462 We understand wanting this fixed. Are you fully updated iOS 11.1.1?,,,,
1088844,"@115858 Hey, my Apple Maps isn’t working... same thing is happening with my friends phones too. We all have full bars",@376851 We'd love to help you with Maps. What happens when you try to use Maps? Do you get an error message at all?,,,,
2137249,"@AppleSupport It’s working for now, however there’s no telling how long this will last. 🤦🏽‍♀️",@628685 We’re glad to hear it’s working! Please let us know if you run into any other issues. We're always happy to help. Have a great day!,,,,
801722,"@AppleSupport nope. Also, i have to shut down my phone daily because i can't make outgoing calls.",@311037 OK. Let us know in DM if you have you been able to update to the latest version of iOS 11. https://t.co/GDrqU2kzhr,,,,
1540553,"@AppleSupport why has my camera roll deleted over 3,000 photos please???",@477443 We're here for you. You'll want to get in touch with one of our Photos experts here: https://t.co/IBIY3vMgPj,,,,
2020153,@AppleSupport any resolution in fixing the bug that changes “I️” to a question mark and an A?This starting happening after I️ updated 11.1 https://t.co/b0u6gVtZEx,"@488275 Our website here should help you with that: https://t.co/xU1AGHStV6 Check it out, and DM us if you have any questions. https://t.co/GDrqU22YpT",,,,
1185826,"@AppleSupport IPhone 6 just used 500mb mobile/cell data via Skpe call even though I was on WiFi, with assist turned off - what happened?",@398833 Hello. We are here to help. Please DM us and we'll take a look into this. https://t.co/GDrqU22YpT,,,,
870251,@AppleSupport Yes exactly. Eg when I delete one email it might jump right to the next one &amp; Mark it as read although I didn’t want to open it. OS Sierra,@326629 Understood. This behavior is expected. We’re open to your thoughts and feedback here: https://t.co/eTPVYVFyd8,,,,
1988787,"@AppleSupport over the last 2-3 days my iPhone has been running really hot, sometimes I have to leave it off for a while, what’s going on?",@588617 We'd like to look into this further with you. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,,,,
2302729,. @AppleSupport hope this thread is helpful in issue remediation: 1. I had the “I“ bug when I was running 11.0.3 (meaning it wasn’t limited to11.1). Now seems to fixed with 11.1.1,@668214 Let's see what we can figure out. How long have you been experiencing the display issues? Reply in DM so we can gather some more information. https://t.co/GDrqU22YpT,,,,
366167,@AppleSupport since software 11 launched my iphone7 plus battery goes from 100% to 10% in less than 2 hours .. while tweeting this i lost 5%,@202732 We're here to help. Have you had the chance to try the steps provided in this article? https://t.co/bivpdfBNJ6,,,,
2831728,@AppleSupport can you help me with some tips on my battery? I have an iPhone 6 it says my battery may need servicing but I can’t afford to get it replaced at the minute,@788434 We'd love to help out. Could you Direct Message us and let us know what country or region you're in? https://t.co/GDrqU22YpT,,,,
804886,@AppleSupport Hi! It is the Iphone 7. It it was just updated to iOS 11.0.2. I know a newer update is out. Just not near wifi,"@311812 Thanks. Updating to iOS 11.0.3 would be the next best step to take as it may resolve the issue. If it doesn't, let us know.",,,,
2058393,My iPhone is tripping @115858 help https://t.co/LuLCLVbM79,@608777 We're here for you. Have you had a chance to restart the iPhone? To restart your iOS device: https://t.co/JWOTqcWcbG https://t.co/GDrqU22YpT,,,,
791976,so annoyed I've had my MacBook less than a month and there's a graphics issue already😶 ffs @115858,@308849 What's going on with the graphics on your new MacBook? We may be able to help.,,,,
1726613,Yoo wtf is good with this random question mark in a box shit when I text @AppleSupport,@522192 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,,,,
2006858,of course I had to get the broke one. any suggestions? @AppleSupport #iPhoneX https://t.co/VopfpUas79,@593441 We're here for you. Let's meet up in DM so we can gather some details about this and work to determine our next steps. https://t.co/GDrqU2kzhr,,,,
1539310,@115858 @AppleSupport @116333 Crazy how this happened the day the iPhone x came out too,"@477143 We got your DM, so be sure to check your inbox for our reply! https://t.co/GDrqU22YpT",,,,
1770401,@115858 why do I️ have issues with the word I️ #applenews,@532228 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,
876729,"@AppleSupport, are you aware that many people are having issues with bluetooth on iOS 11 and can you confirm that this is going to be fixed?",@328147 We're happy to help. What issue are you experiencing with bluetooth specifically?,,,,
299025,"@AppleSupport Hi, why is it that I cant download IOS OTA? I get an error Message saying failed to download",@187271 We can help. Take a look at the following article and let us know if it helps get your iOS software updated: https://t.co/Ui1yTnOCUz,,,,
65011,"@AppleSupport I guess my real question is has there been a record of other people coming forward with the same screen distortion problems? if so, i won't worry as much, as freaky as it looks.",@130908 This is not expected behavior of your Mac after an update. It sounds like you’ve completed some great troubleshooting steps so far. DM us what country you’re located in so we can take a closer look at this issue with you. https://t.co/GDrqU22YpT,,,,
1627176,This A? from @115858’s latest update is very upsetting.,@498194 Thanks for reaching out. We currently have a workaround for this. Here's how: https://t.co/xXaXeeSRt9,,,,
2858271,"@AppleSupport You guys lost my playlist i worked 2 years on. It was my life’s work, 700 of my favourite songs gone. Can you get it back please. @AppleSupport","@794336 We understand the importance of getting your playlist back, and want to help in any way we can. Send us a DM with the device your playlist is missing from, and we'll go from there:",,,,
2419006,"Dear @115858, can you please not mess up my phone ? I’m a broke college student &amp; cant afford a new one .",@694992 Let us help. Tell us more about this in DM. https://t.co/GDrqU22YpT,,,,
243321,"@AppleSupport Thanks for the answer, but that’s not the point of course. What are the icons there for? This needs to be fixed. #iOSwifi #iOS11",@173783 Sure thing. The iPhone User Guide also explains the benefits of this new feature: https://t.co/gULxyksd91,,,,
1892838,@AppleSupport my iPhone 7 plus with iOS 11 patches and my battery is drained in a few hours. Not happy.,@564382 We want you to have a good experience with the update &amp; want to help. Please DM us with the current country you're in. https://t.co/GDrqU22YpT,,,,
2169843,@115858 @AppleSupport can you guys fix my phone?,@636527 We'd love to help. DM us what's happening with the device specifically. We can go from there. https://t.co/GDrqU22YpT,,,,
619353,Hey @115858 when will you fix the battery of my old iphone 6s plus? #ihateios11 #regrets #shouldnthaveupgraded,"@266968 We're here for you. Let's continue working on your battery issues via DM. When you reach out, tell us which specific version of iOS 11 is currently installed. We'll look forward to hearing from you. https://t.co/GDrqU22YpT",,,,
1774758,@115858 hello I’m gonna need you to fix your glitch with typing “i**” and it switching to “I️” immediately thank you,@533355 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,
1711299,tired of seeing “A |?|” fix this shit @AppleSupport,@518398 ere’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,
2292794,Could resetting your Apple ID password any more aggravating? @AppleSupport,"@632114 Are you attempting to reset your password with the steps here?: https://t.co/TPnzSxFzIQ If so and you continue to have an issue, reach out to our Apple ID team here to further assist: https://t.co/UJm15vmMM2",,,,
1697330,@AppleSupport Thanks for the reply.,@514848 It's our pleasure. Feel free to reach out if any questions come up.,,,,
2533247,@AppleSupport I have to restart my phone at least 3 times a day because of your crappy update,@720888 This is not the experience we want you to have. Which iPhone model do you own?,,,,
375588,"@AppleSupport Why is it doing this when I have music playing, why isn’t it showing up? Can’t pause, go back one, go to the next, nothing..? https://t.co/qqN6hKhte9",@205071 We see that you have sent a DM and will meet you there.,,,,
875099,"Charged my phone all night. Woke up with it at 100%. Fell asleep for an hour, woke up and it was at 1%. Lol. @115858",@327762 That's not the experience we want you to have. Are you updated to iOS 11.0.3?,,,,
2077986,@AppleSupport - new update and more problems.. now a black screen when messages received. #iphone6 .. this has been my worst experience with #appleios #iOS11 #notgoodenough,@614577 We'd like to help. DM us details of the issue you're having with Messages and we'll look at this with you there. https://t.co/GDrqU22YpT,,,,
